Layer_Src,Layer_Dst,Neuron_Src_ID,Neuron_Dst_ID,Base_Weight,Spline_0,Spline_1,Spline_2,Spline_3,Spline_4,Spline_5,Spline_6,Spline_7,Spline_8,Spline_9,Spline_10
0,1,2,4,0.021414021,-0.014344849,-0.059971265,0.031550236,-0.03636711,-0.004818402,0.035639666,-0.06617962,0.06788589,0.08273114,0.09405847,0.07495814
0,1,3,4,-0.081079915,0.2253853,0.017671395,-0.09203033,0.3353275,-0.16804224,0.026190216,0.012194769,0.020607568,0.00677251,0.045031093,-0.05062516
0,1,4,4,-0.0409375,0.07617255,0.0027999652,-0.106016114,-0.09746909,-0.13004674,0.030974638,-0.118536316,-0.030987602,-0.10357406,0.009959291,-0.0050908476
0,1,5,4,-0.050629653,0.04092122,0.08840024,0.0294801,0.034461536,-0.061868135,0.038177423,-0.03859826,-0.11353487,0.010949568,0.09640105,-0.082577154
0,1,6,4,-0.05137848,0.24257044,-0.1306686,-0.19333766,0.16617766,-0.31194687,-0.28556007,0.2034358,0.030273305,0.09571054,0.06760057,0.01823757
0,1,7,4,0.05242393,-0.06451385,0.0138287805,0.0869287,-0.028154489,-0.07580913,0.10621225,-0.10043335,0.01663545,-0.035670996,-0.055571113,0.06376565
0,1,8,4,0.024659935,-0.02003549,0.07721504,0.052792817,0.05650723,-0.07012312,-0.018212877,-0.10456291,-0.010785825,-0.08696234,-0.0012074192,-0.07979956
0,1,0,5,-0.03588452,-0.47393054,0.025119903,0.043003693,-0.18551482,0.2261582,0.08191579,-0.13182843,0.0205299,-0.060663193,0.025846431,0.0020514326
0,1,1,5,-0.07255673,-0.0018641576,0.13787347,0.08897464,0.03005286,0.040719427,0.07536957,-0.06590932,0.012970678,-0.00015354987,-0.09992029,0.014225043
0,1,2,5,-0.01596618,-0.10279175,0.109052904,0.07319527,-0.017235005,0.10170919,0.089393,0.060639165,0.062267683,0.057569046,0.0071433834,-0.0013899133
0,1,3,5,0.096432954,-0.43799683,0.05192521,0.16559269,-0.12052359,0.012019149,0.029842498,0.057842374,0.0054706046,0.088479616,-0.04197063,0.036706667
0,1,4,5,0.061132666,0.0042319596,0.014853086,-0.08289178,0.040162217,0.09235545,-0.10761351,0.046219178,0.05998954,0.06417329,0.12245564,0.10911954
0,1,5,5,0.091196574,0.0004143566,-0.048461407,-0.04831145,-0.017616248,0.04228797,-0.054518633,-0.11082493,0.0025167456,-0.08015387,0.08552992,0.089425094
0,1,6,5,-0.094698824,-0.4059654,0.021816323,-0.08207954,-0.041940637,0.019311553,-0.12781891,0.08647526,0.09244923,-0.0136829745,-0.011294079,-0.12471166
